Published,Use Case,Title,Link,Language
12/2/20,Data Science and Engineering,"Ciencia de Datos Acelerada con GPUs: Casos de uso a nivel empresarial (SQL, ML, NLP, y más) en una fracción del costo e increíble performance!",https://www.youtube.com/watch?v=N9lKD3zAM1k,Spanish
11/24/20,Data Science and Engineering,"GPU-Accelerated Data Science: Enterprise Scale Use Cases (ETL, ML, NLP, and more) at a Fraction of the Cost and with Ridiculous Performance!",https://www.youtube.com/watch?v=V9kblIDIVB4&t=1064s,English
11/17/20,Urban planning,Ciencia de Datos Acelerada con GPUs: Machine learning y análisis de grafos con RAPIDS,https://www.youtube.com/watch?v=N19aHSmA4jk,Spanish
11/10/20,Urban planning,GPU-Accelerated Data Science: Machine learning and graph analytics with RAPIDS,https://www.youtube.com/watch?v=VY2I3FIqiyc,English
11/3/20,Healthcare,Ciencia de Datos Acelerada con GPUs: Procesamiento en Lenguaje Natural (NLP) con GPUs sobre documentos de investigación del Coronavirus,https://www.youtube.com/watch?v=V04ODqpodRc,Spanish
10/27/20,Healthcare,GPU-Accelerated Data Science: NLP on Corpus of Coronaviruses Scientific Literature with RAPIDS,https://www.youtube.com/watch?v=OoUiEau16Xo&t=393s,English
10/20/20,Urban planning,Ciencia de Datos Acelerada con GPUs: Buscar Estacionamiento con SQL,https://www.youtube.com/watch?v=X3WxOieweD8,Spanish
10/13/20,Urban planning,GPU-Accelerated Data Science: Find a Parking Spot with SQL,https://www.youtube.com/watch?v=qmX0H3bkR48&t=2092s,English
